ndc11,brand_name,strength,route,labeler_name
00378912198,FENTANYL,FENTANYL 25 ug/h,TRANSDERMAL,Mylan Pharmaceuticals Inc.
70748033701,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE 42 ug/1,NASAL,"Lupin Pharmaceuticals, Inc."
00404991910,Nalbuphine Hydrochloride,NALBUPHINE HYDROCHLORIDE 10 mg/mL,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Henry Schein, Inc."
00406052301,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,SpecGx LLC
00406052305,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,SpecGx LLC
00406052323,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,SpecGx LLC
00406052362,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,SpecGx LLC
00406802003,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,"BUPRENORPHINE HYDROCHLORIDE 8 mg/1, NALOXONE HYDROCHLORIDE DIHYDRATE 2 mg/1",SUBLINGUAL,SpecGx LLC
00406838001,MORPHINE SULFATE,MORPHINE SULFATE 60 mg/1,ORAL,SpecGx LLC
00406838023,MORPHINE SULFATE,MORPHINE SULFATE 60 mg/1,ORAL,SpecGx LLC
00406838062,MORPHINE SULFATE,MORPHINE SULFATE 60 mg/1,ORAL,SpecGx LLC
00406903776,FENTANYL TRANSDERMAL,FENTANYL 37.5 ug/h,TRANSDERMAL,SpecGx LLC
00406906276,FENTANYL TRANSDERMAL,FENTANYL 62.5 ug/h,TRANSDERMAL,SpecGx LLC
