Count,Drug Combo (with ATC Names)
1093,"M01A (ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS), M03B (MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS), N02A (OPIOIDS)"
939,"A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)), M01A (ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS), N02A (OPIOIDS)"
639,"M01A (ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS), N02A (OPIOIDS), N02B (OTHER ANALGESICS AND ANTIPYRETICS)"
526,"M01A (ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS), N02A (OPIOIDS), N06A (ANTIDEPRESSANTS)"
522,"M03B (MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS), N02A (OPIOIDS), N02B (OTHER ANALGESICS AND ANTIPYRETICS)"
480,"N02A (OPIOIDS), N02B (OTHER ANALGESICS AND ANTIPYRETICS), N06A (ANTIDEPRESSANTS)"
443,"N02A (OPIOIDS), N05B (ANXIOLYTICS), N06A (ANTIDEPRESSANTS)"
407,"J01C (BETA-LACTAM ANTIBACTERIALS, PENICILLINS), M01A (ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS), N02A (OPIOIDS)"
387,"M03B (MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS), N02A (OPIOIDS), N06A (ANTIDEPRESSANTS)"
355,"A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)), N02A (OPIOIDS), N06A (ANTIDEPRESSANTS)"
