drug1,drug2,n_total,n_ae,n_no_ae,ae_prop,p_value,p_adj,significant,drug1_name,drug2_name
L01E,N02A,1418,83,1335,0.05853314527503526,6.587410118077486e-37,1.2591363911410966e-34,True,PROTEIN KINASE INHIBITORS,OPIOIDS
L01X,N02A,1106,52,1054,0.04701627486437613,4.563534707826629e-16,2.0129701447490208e-14,True,OTHER ANTINEOPLASTIC AGENTS,OPIOIDS
L03A,N02A,937,42,895,0.044823906083244394,4.518671711718835e-12,1.217311963143584e-10,True,IMMUNOSTIMULANTS,OPIOIDS
L01A,N02A,205,9,196,0.04390243902439024,0.0035869952289160037,0.015329395170768968,True,ALKYLATING AGENTS,OPIOIDS
H01B,N02A,251,11,240,0.043824701195219126,0.0010778897702363815,0.005522949769713704,True,POSTERIOR PITUITARY LOBE HORMONES,OPIOIDS
B05B,N02A,462,18,444,0.03896103896103896,0.00017129804715824938,0.0011198540086208681,True,I.V. SOLUTIONS,OPIOIDS
A12C,N02A,398,14,384,0.035175879396984924,0.004268772222796803,0.017793200106237143,True,OTHER MINERAL SUPPLEMENTS,OPIOIDS
A07A,N02A,3693,124,3569,0.033577037638776064,2.066192573270391e-17,1.0367121236384186e-15,True,INTESTINAL ANTIINFECTIVES,OPIOIDS
N02A,V03A,5188,173,5015,0.033346183500385505,2.2464483488143235e-23,2.097033412125743e-21,True,OPIOIDS,ALL OTHER THERAPEUTIC PRODUCTS
B03X,N02A,401,13,388,0.032418952618453865,0.015127121692186555,0.052075700233650796,False,OTHER ANTIANEMIC PREPARATIONS,OPIOIDS
C01E,N02A,1701,50,1651,0.029394473838918283,1.5245058517446669e-05,0.00013103568498721825,True,OTHER CARDIAC PREPARATIONS,OPIOIDS
A03F,N02A,5180,151,5029,0.02915057915057915,4.8065478878315943e-14,1.581433050963608e-12,True,PROPULSIVES,OPIOIDS
A05A,N02A,1034,30,1004,0.029013539651837523,0.0012627670792247523,0.006359783006283759,True,BILE THERAPY,OPIOIDS
N02A,N04A,1661,48,1613,0.028898254063816978,3.955647296610794e-05,0.00030771256295728156,True,OPIOIDS,ANTICHOLINERGIC AGENTS
A09A,N02A,2192,63,2129,0.02874087591240876,2.7122210383896486e-06,2.8131408909808912e-05,True,"DIGESTIVES, INCL. ENZYMES",OPIOIDS
A04A,N02A,35115,993,34122,0.028278513455788124,9.075227718787928e-79,1.2142654687738247e-75,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS
A11D,N02A,780,22,758,0.028205128205128206,0.00974669195854152,0.03572896942610563,True,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12",OPIOIDS
N02A,N05A,35681,1006,34675,0.028194277066225723,5.3272652344159213e-79,1.0691821325472755e-75,True,OPIOIDS,ANTIPSYCHOTICS
J04B,N02A,328,9,319,0.027439024390243903,0.1506418130334027,0.32791553010633323,False,DRUGS FOR TREATMENT OF LEPRA,OPIOIDS
A02A,N02A,2818,74,2744,0.0262597586941093,1.783508702482144e-05,0.0001500839398692521,True,ANTACIDS,OPIOIDS
N02A,R05C,1223,32,1191,0.02616516762060507,0.006282547342386476,0.024894516320177012,True,OPIOIDS,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
N01A,N02A,881,23,858,0.026106696935300794,0.02336717244265195,0.07582524671366607,False,"ANESTHETICS, GENERAL",OPIOIDS
N02A,N07B,14667,378,14289,0.025772141542237677,1.6554322851722764e-21,1.3561031005472484e-19,True,OPIOIDS,DRUGS USED IN ADDICTIVE DISORDERS
C02A,N02A,11652,297,11355,0.02548918640576725,2.0276635353413914e-16,9.144990371753196e-15,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",OPIOIDS
H04A,N02A,360,9,351,0.025,0.2472573870491933,0.46188415647499237,False,GLYCOGENOLYTIC HORMONES,OPIOIDS
