drug1,drug2,drug3,n_total,n_ae,n_no_ae,ae_prop,p_value,p_adj,significant,drug1_name,drug2_name,drug3_name
N02A,N02B,N06A,51587,1312,50275,0.0254327640684668,7.188852267729357e-26,2.176373675110293e-23,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS,ANTIDEPRESSANTS
A02B,N02A,N06A,48163,1134,47029,0.0235450449515188,2.0417490681982026e-12,1.2847671200060758e-10,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS,ANTIDEPRESSANTS
N02A,N05B,N06A,38977,1023,37954,0.0262462477871565,1.0623493406290429e-24,2.7794206452605775e-22,True,OPIOIDS,ANXIOLYTICS,ANTIDEPRESSANTS
A02B,N02A,N02B,40684,1014,39670,0.0249238029692262,1.828608592013404e-17,2.1409874741407764e-15,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
M03B,N02A,N02B,39340,990,38350,0.0251652262328418,2.9912392428531186e-18,4.1431596101008687e-16,True,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
M03B,N02A,N06A,39236,908,38328,0.0231420124375573,1.1208113884825653e-08,3.6939712200190556e-07,True,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS,ANTIDEPRESSANTS
C10A,N02A,N06A,42218,901,41317,0.021341607844995,0.0015062255232019,0.0107042023097571,True,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS,ANTIDEPRESSANTS
M01A,N02A,N06A,42064,898,41166,0.0213484214530239,0.0014842447517183,0.0105728116902234,True,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS,ANTIDEPRESSANTS
C10A,N02A,N02B,38652,866,37786,0.0224050501914519,4.511068426559695e-06,7.715783865670142e-05,True,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
M01A,N02A,N02B,39585,852,38733,0.0215233042819249,0.0008493911929841,0.0067341182797304,True,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
