drug1,drug2,drug3,n_total,n_ae,n_no_ae,ae_prop,p_value,p_adj,significant,drug1_name,drug2_name,drug3_name
C02A,N05B,N07B,328,50,278,0.1524390243902439,1.94365852537723e-67,6.865001911632376e-64,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANXIOLYTICS,DRUGS USED IN ADDICTIVE DISORDERS
C02A,M01A,N07B,211,31,180,0.14691943127962084,4.980189797276973e-40,3.9088956364405045e-37,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",DRUGS USED IN ADDICTIVE DISORDERS
C02A,N05A,N07B,231,33,198,0.14285714285714285,4.056837528404015e-41,3.511496683108301e-38,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANTIPSYCHOTICS,DRUGS USED IN ADDICTIVE DISORDERS
A04A,N01B,N05A,257,36,221,0.14007782101167315,1.007220727978586e-43,1.1234221930169575e-40,True,ANTIEMETICS AND ANTINAUSEANTS,"ANESTHETICS, LOCAL",ANTIPSYCHOTICS
A04A,H02A,N05A,534,70,464,0.13108614232209737,1.2789054734206882e-77,1.3551282396365613e-73,True,ANTIEMETICS AND ANTINAUSEANTS,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",ANTIPSYCHOTICS
A04A,C02A,N05B,250,31,219,0.124,3.060239203677216e-32,1.621314730108189e-29,True,ANTIEMETICS AND ANTINAUSEANTS,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANXIOLYTICS
C02A,N02B,N07B,336,41,295,0.12202380952380952,1.3844415758554718e-41,1.3335948125240526e-38,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",OTHER ANALGESICS AND ANTIPYRETICS,DRUGS USED IN ADDICTIVE DISORDERS
C02A,N06A,N07B,534,65,469,0.12172284644194757,2.2947554581994423e-65,5.40338418557362e-62,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANTIDEPRESSANTS,DRUGS USED IN ADDICTIVE DISORDERS
A04A,B05X,N05A,267,32,235,0.1198501872659176,8.179216173173986e-32,4.031022073067514e-29,True,ANTIEMETICS AND ANTINAUSEANTS,I.V. SOLUTION ADDITIVES,ANTIPSYCHOTICS
A04A,B01A,N05A,295,34,261,0.1152542372881356,4.6258375937327873e-32,2.39099390942403e-29,True,ANTIEMETICS AND ANTINAUSEANTS,ANTITHROMBOTIC AGENTS,ANTIPSYCHOTICS
A04A,N05B,N07B,413,47,366,0.11380145278450363,2.4517793160947055e-43,2.4741955841275713e-40,True,ANTIEMETICS AND ANTINAUSEANTS,ANXIOLYTICS,DRUGS USED IN ADDICTIVE DISORDERS
A04A,C02A,N06A,300,33,267,0.11,3.021891243090819e-29,1.3069371270118496e-26,True,ANTIEMETICS AND ANTINAUSEANTS,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANTIDEPRESSANTS
A04A,C03C,N05A,222,24,198,0.10810810810810811,6.095229367299801e-21,1.1430982367417467e-18,True,ANTIEMETICS AND ANTINAUSEANTS,HIGH-CEILING DIURETICS,ANTIPSYCHOTICS
H02A,N01B,N05A,204,22,182,0.10784313725490197,3.5100901157204477e-19,5.313273552310552e-17,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN","ANESTHETICS, LOCAL",ANTIPSYCHOTICS
A04A,A06A,H02A,319,33,286,0.10344827586206896,6.7450718729637e-27,2.2334619239351052e-24,True,ANTIEMETICS AND ANTINAUSEANTS,DRUGS FOR CONSTIPATION,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
C02A,M03B,N07B,232,24,208,0.10344827586206896,9.740264975055537e-20,1.6126226199326322e-17,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",DRUGS USED IN ADDICTIVE DISORDERS
A04A,N07B,R06A,213,22,191,0.10328638497652583,4.1772767476581334e-18,5.464496841751306e-16,True,ANTIEMETICS AND ANTINAUSEANTS,DRUGS USED IN ADDICTIVE DISORDERS,ANTIHISTAMINES FOR SYSTEMIC USE
A04A,N05A,N05B,904,93,811,0.10287610619469026,7.468291176866113e-74,5.2756008873382216e-70,True,ANTIEMETICS AND ANTINAUSEANTS,ANTIPSYCHOTICS,ANXIOLYTICS
A04A,C09A,N05A,282,29,253,0.10283687943262411,1.5858695307841378e-23,3.613736246922306e-21,True,ANTIEMETICS AND ANTINAUSEANTS,"ACE INHIBITORS, PLAIN",ANTIPSYCHOTICS
